og_image,updated_image,descriptions,set,group
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/7ZcGKL5F/Avatar-Maker-1.png,['Change the eyebrows to be thicker'],1.0,1.0
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/ydCJzrXn/Avatar-Maker-2.png,['Change the eyebrows to arch up'],1.0,2.0
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/vB748L0y/Avatar-Maker-3.png,[],1.0,3.0
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/XvLMVr9h/Avatar-Maker-4.png,"['Change the eye shape to be bigger', 'Change the eyebrow shape']",1.0,4.0
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/2yqgFTgR/Avatar-Maker-5.png,['Change the eye shape to be bigger'],1.0,5.0
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/FRHM1hZK/Avatar-Maker-6.png,[],1.0,6.0
https://i.postimg.cc/3wvyVHpd/Avatar-Maker.png,https://i.postimg.cc/fLq6912f/Avatar-Maker-7.png,"['Change the mouth to smile', 'Change the eye shape to be bigger', 'Change the eyebrow thickness']",1.0,7.0
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/0yBvmMzw/Avatar-Maker-1.png,[],2.0,1.0
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/Zn77g3tP/Avatar-Maker-2.png,['Change the eye shape to be bigger'],2.0,2.0
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/cHqN9pM1/Avatar-Maker-3.png,[],2.0,3.0
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/85hgqZtR/Avatar-Maker-4.png,[],2.0,4.0
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/J75Wxdym/Avatar-Maker-5.png,['Change the mouth to smile'],2.0,5.0
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/WbpcH6rZ/Avatar-Maker-6.png,[],2.0,6.0
https://i.postimg.cc/kGqP9Wpk/Avatar-Maker.png,https://i.postimg.cc/j2c0jLVC/Avatar-Maker-7.png,"['Change the mouth to smile', 'Change the eye shape to be bigger', 'Change the eyebrows to be thinner']",2.0,7.0
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/xTG3phMf/Avatar-Maker-1.png,[],3.0,1.0
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/L8HBcD3z/Avatar-Maker-2.png,[],3.0,2.0
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/Fz50DVKk/Avatar-Maker-3.png,[],3.0,3.0
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/GmqJdDX6/Avatar-Maker-4.png,['Change the eye shape to be bigger'],3.0,4.0
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/BvzT109g/Avatar-Maker-5.png,['Change the mouth to frown'],3.0,5.0
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/G2skF5b1/Avatar-Maker-6.png,"['Change the mouth to frown', 'Change the eyebrows to be thinner']",3.0,6.0
https://i.postimg.cc/PqJbxqcJ/Avatar-Maker.png,https://i.postimg.cc/rs1xbRdn/Avatar-Maker-7.png,"['Change the eye shape to be bigger', 'Change the mouth to frown', 'Change the eyebrows to be thinner']",3.0,7.0
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/tRNsKjSM/Avatar-Maker-1.png,[],4.0,1.0
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/hPCfG0q8/Avatar-Maker-2.png,[],4.0,2.0
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/ncVXZPNc/Avatar-Maker-3.png,[],4.0,3.0
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/HkVj87pq/Avatar-Maker-4.png,[],4.0,4.0
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/DzGZBk45/Avatar-Maker-5.png,[],4.0,5.0
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/d1m0c2By/Avatar-Maker-6.png,['Change the mouth to neutral'],4.0,6.0
https://i.postimg.cc/SspKPTW4/Avatar-Maker.png,https://i.postimg.cc/rw3s1FsK/Avatar-Maker-7.png,"['Change the eye shape', 'Change the mouth to neutral']",4.0,7.0
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/Kv9DyLqw/Avatar-Maker-1.png,[],5.0,1.0
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/vZcL8BCB/Avatar-Maker-2.png,[],5.0,2.0
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/QdwgFDrq/Avatar-Maker-3.png,[],5.0,3.0
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/mr9YMnLW/Avatar-Maker-4.png,['Change the eye shape to be smaller'],5.0,4.0
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/JnWbQQ0D/Avatar-Maker-5.png,['Change the mouth to smile with teeth'],5.0,5.0
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/4yfVDNzX/Avatar-Maker-6.png,['Change the mouth to smile with teeth'],5.0,6.0
https://i.postimg.cc/mkmCBfwC/Avatar-Maker.png,https://i.postimg.cc/4dbp2hH8/Avatar-Maker-7.png,"['Change the eye shape to be smaller', 'Change the eyebrows to be thinner', 'Change the mouth to smile with teeth']",5.0,7.0
